cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Female,45,Driver,NotFatal,Worn,Medium,Full,5,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,33,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,18,Driver,NotFatal,Worn,Small,Provisional 2,3,3 Country,2,off-peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Passenger,Female,18,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,3 Country,2,off-peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Passenger,Male,18,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,3 Country,2,off-peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Driver,Male,79,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,3,off-peak,110,Freeway,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
Passenger,Female,75,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,110,Freeway,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,50,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Stop Sign
Driver,Female,35,Driver,NotFatal,Worn,Small,Full,3,2 Metropolitan,2,off-peak,60,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Female,55,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,8,Rear Seat Middle Passenger,NotFatal,NotWorn,Small,NoLicence,5,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Male,5,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
