REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,cas_type,cas_gender,cas_age,cas_pos_in_veh,thrown_out,fatality,seat_belt,unit_type,lic_type,unit_movement,n_occupants,stat_area,total_units,cas_total,day,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
2018-1361-15/08/2019,1,1,Driver,Male,40.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Monday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1363-15/08/2019,2,1,Driver,Female,53.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1364-15/08/2019,3,1,Rider,Male,49.0,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,9,1,Tuesday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Give Way Sign
2018-1368-15/08/2019,1,1,Rider,Male,26.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,off-peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2018-1370-15/08/2019,2,1,Driver,Male,32.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Right Turn,1.0,2 Metropolitan,2,1,Tuesday,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2018-1373-15/08/2019,2,1,Driver,Female,47.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Left Turn,1.0,2 Metropolitan,2,1,Tuesday,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Give Way Sign
2018-1375-15/08/2019,1,1,Driver,Female,45.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1383-15/08/2019,1,1,Driver,Female,43.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Left Turn,1.0,2 Metropolitan,2,1,Tuesday,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Give Way Sign
2018-1384-15/08/2019,2,1,Passenger,Female,22.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Right Turn,2.0,2 Metropolitan,2,1,Tuesday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2018-1387-15/08/2019,1,1,Driver,Female,30.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1390-15/08/2019,2,1,Driver,Female,62.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Left Turn,1.0,2 Metropolitan,2,1,Tuesday,peak,60,Cross Road,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1391-15/08/2019,1,1,Passenger,Female,51.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Stopped on Carriageway,2.0,2 Metropolitan,2,1,Tuesday,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1395-15/08/2019,1,1,Driver,Male,55.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Tuesday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2018-1404-15/08/2019,1,1,Rider,Male,59.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2018-1408-15/08/2019,1,1,Driver,Male,42.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Wednesday,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Traffic Signals
2018-1410-15/08/2019,1,1,Driver,Female,22.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
2018-1412-15/08/2019,2,1,Driver,Female,65.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Swerving,2.0,2 Metropolitan,2,2,Wednesday,off-peak,90,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1412-15/08/2019,2,2,Passenger,Female,90.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Swerving,2.0,2 Metropolitan,2,2,Wednesday,off-peak,90,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1414-15/08/2019,1,1,Driver,Female,61.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Wednesday,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1415-15/08/2019,1,1,Driver,Female,31.0,Driver,Not Thrown Out,NotFatal,Unknown,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
2018-1416-15/08/2019,1,1,Driver,Male,50.0,Driver,Not Thrown Out,NotFatal,Worn,Utility,Full,Straight Ahead,1.0,3 Country,2,1,Wednesday,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
2018-1421-15/08/2019,2,1,Driver,Male,60.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Wednesday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1422-15/08/2019,1,1,Driver,Female,43.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Wednesday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
2018-1424-15/08/2019,2,1,Rider,Male,34.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Leaving Private Driveway,1.0,2 Metropolitan,2,1,Wednesday,peak,70,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
2018-1425-15/08/2019,1,1,Rider,Male,53.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,3,1,Wednesday,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1428-15/08/2019,1,1,Driver,Male,17.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Provisional 1 ,Straight Ahead,1.0,2 Metropolitan,2,1,Wednesday,peak,80,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1435-15/08/2019,1,1,Rider,Female,26.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Swerving,1.0,2 Metropolitan,1,1,Wednesday,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Roll Over,No Control
2018-1436-15/08/2019,1,1,Driver,Female,42.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Thursday,off-peak,90,Other,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
2018-1438-15/08/2019,2,1,Passenger,Female,22.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,2.0,2 Metropolitan,2,1,Thursday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
